date,home_team,away_team,model_prob,market_price,edge,bet_size,won,profit,bankroll
2023-10-29,Golden State Warriors,Dallas Mavericks,0.6393576425190111,0.5815073854753379,0.05785025704367319,34.55870846692326,False,-34.55870846692326,965.4412915330768
2023-10-30,LA Lakers,Milwaukee Bucks,0.2654335042829184,0.18951092735077135,0.07592257693214705,22.60943213284208,True,96.6946758091428,1062.1359673422196
2023-10-30,Cleveland Cavaliers,Charlotte Hornets,0.8744247138161969,0.6487344264980162,0.22569028731818075,84.97087738737757,True,46.008571084419245,1108.1445384266387
2023-10-30,LA Lakers,Portland Trail Blazers,0.8160496350407968,0.64095597757755,0.1750936574632468,88.6515630741311,True,49.65990631754807,1157.8044447441869
2023-11-07,Boston Celtics,Milwaukee Bucks,0.5419070089728899,0.28610206931695836,0.25580493965593154,92.62435557953495,False,-92.62435557953495,1065.180089164652
2023-11-09,Minnesota Timberwolves,Atlanta Hawks,0.8444491470498199,0.7853817779623699,0.05906736908745003,73.28989224906047,True,20.027643636744127,1085.207732801396
2023-11-14,New York Knicks,LA Lakers,0.6246197305901969,0.5711402055850667,0.0534795250051302,33.83179936538952,True,25.403742161113197,1110.6114749625092
2023-11-21,Memphis Grizzlies,Charlotte Hornets,0.8596763790931763,0.7942170197532333,0.06545935933994296,88.32109868787028,True,22.88414684478278,1133.495621807292
2023-11-21,Philadelphia 76ers,Dallas Mavericks,0.6144455969469357,0.4574270552515159,0.1570185416954198,82.00732789801593,False,-82.00732789801593,1051.488293909276
2023-11-23,Orlando Magic,Charlotte Hornets,0.8396723737816081,0.7778344984360069,0.061837875345601145,73.16820297073846,True,20.898340899272295,1072.3866348085485
2023-11-26,San Antonio Spurs,Cleveland Cavaliers,0.3529913918530964,0.28031096482817686,0.07268042702491956,27.07472072820088,False,-27.07472072820088,1045.3119140803476
2023-11-27,Dallas Mavericks,Chicago Bulls,0.8509786876108226,0.7902538626217253,0.06072482498909737,75.6585840327879,True,20.081010053832554,1065.3929241341802
2023-11-28,Orlando Magic,Philadelphia 76ers,0.40199223026763864,0.2707259239610059,0.13126630630663272,47.9415759147452,False,-47.9415759147452,1017.4513482194351
2023-12-01,Indiana Pacers,Portland Trail Blazers,0.6407538176489471,0.4795727640748486,0.1611810535740985,78.77848666724148,True,85.48957142236729,1102.9409196418023
2023-12-05,LA Lakers,Detroit Pistons,0.8384010424543176,0.770308669231665,0.0680923732226526,81.74216294054703,True,24.373951554282375,1127.3148711960848
