game_id,season,home_team,away_team,home_elo,away_elo,elo_diff,elo_prob_home
566083,2019,OAK,SEA,1500.0,1500.0,0.0,0.5345
566084,2019,OAK,SEA,1485.91,1514.09,-28.19,0.494
565220,2019,CIN,PIT,1500.0,1500.0,0.0,0.5345
565702,2019,KC,CWS,1500.0,1500.0,0.0,0.5345
565799,2019,LAD,ARI,1500.0,1500.0,0.0,0.5345
565895,2019,WSH,NYM,1500.0,1500.0,0.0,0.5345
566086,2019,OAK,LAA,1477.79,1500.0,-22.21,0.5026
566275,2019,SD,SF,1500.0,1500.0,0.0,0.5345
566372,2019,SEA,BOS,1522.21,1500.0,22.21,0.5661
566664,2019,TB,HOU,1500.0,1500.0,0.0,0.5345
566763,2019,TEX,CHC,1500.0,1500.0,0.0,0.5345
566864,2019,TOR,DET,1500.0,1500.0,0.0,0.5345
566962,2019,MIN,CLE,1500.0,1500.0,0.0,0.5345
567059,2019,PHI,ATL,1500.0,1500.0,0.0,0.5345
567359,2019,MIA,COL,1500.0,1500.0,0.0,0.5345
567456,2019,NYY,BAL,1500.0,1500.0,0.0,0.5345
567552,2019,MIL,STL,1500.0,1500.0,0.0,0.5345
566665,2019,TB,HOU,1479.35,1520.65,-41.29,0.4751
566865,2019,TOR,DET,1485.91,1514.09,-28.19,0.494
567360,2019,MIA,COL,1482.22,1517.78,-35.57,0.4834
565221,2019,CIN,PIT,1512.27,1487.73,24.55,0.5694
565703,2019,KC,CWS,1512.27,1487.73,24.55,0.5694
565800,2019,LAD,ARI,1523.23,1476.77,46.46,0.6
565896,2019,WSH,NYM,1485.91,1514.09,-28.19,0.494
566087,2019,OAK,LAA,1496.82,1480.98,15.84,0.5571
566276,2019,SD,SF,1512.27,1487.73,24.55,0.5694
566373,2019,SEA,BOS,1544.86,1477.35,67.51,0.6287
566666,2019,TB,HOU,1492.94,1507.06,-14.12,0.5142
566866,2019,TOR,DET,1509.24,1490.76,18.48,0.5608
566963,2019,MIN,CLE,1512.27,1487.73,24.55,0.5694
567060,2019,PHI,ATL,1521.74,1478.26,43.48,0.5959
567361,2019,MIA,COL,1461.76,1538.24,-76.48,0.4251
567457,2019,NYY,BAL,1520.02,1479.98,40.04,0.5911
567553,2019,MIL,STL,1507.74,1492.26,15.49,0.5566
567554,2019,MIL,STL,1486.4,1513.6,-27.21,0.4954
565222,2019,CIN,PIT,1511.13,1488.87,22.26,0.5662
565704,2019,KC,CWS,1523.5,1476.5,47.0,0.6008
565801,2019,LAD,ARI,1513.46,1486.54,26.91,0.5728
565802,2019,LAD,ARI,1540.19,1459.81,80.38,0.6459
565897,2019,WSH,NYM,1469.68,1530.32,-60.64,0.4475
566088,2019,OAK,LAA,1475.45,1502.34,-26.89,0.4958
566089,2019,OAK,LAA,1488.58,1489.21,-0.63,0.5336
